
미세먼지농도
[검색조건]
지점명 : 서울, 자료구분:시간자료 , 기간 : 20180101 00 ~ 20190101 00

지점번호,지점명,일자,미세먼지농도(㎍/㎥)
108,서울,2018-01-01 00,25
108,서울,2018-01-01 01,39
108,서울,2018-01-01 02,30
108,서울,2018-01-01 03,33
108,서울,2018-01-01 04,35
108,서울,2018-01-01 05,29
108,서울,2018-01-01 06,37
108,서울,2018-01-01 07,30
108,서울,2018-01-01 08,29
108,서울,2018-01-01 09,28
108,서울,2018-01-01 10,33
108,서울,2018-01-01 11,54
108,서울,2018-01-01 12,60
108,서울,2018-01-01 13,51
108,서울,2018-01-01 14,43
108,서울,2018-01-01 15,50
108,서울,2018-01-01 16,53
108,서울,2018-01-01 17,50
108,서울,2018-01-01 18,32
108,서울,2018-01-01 19,21
108,서울,2018-01-01 20,33
108,서울,2018-01-01 21,35
108,서울,2018-01-01 22,36
108,서울,2018-01-01 23,37
108,서울,2018-01-02 00,41
108,서울,2018-01-02 01,42
108,서울,2018-01-02 02,42
108,서울,2018-01-02 03,47
108,서울,2018-01-02 04,46
108,서울,2018-01-02 05,51
108,서울,2018-01-02 06,46
108,서울,2018-01-02 07,40
108,서울,2018-01-02 08,43
108,서울,2018-01-02 09,40
108,서울,2018-01-02 10,48
108,서울,2018-01-02 11,55
108,서울,2018-01-02 12,49
108,서울,2018-01-02 13,42
108,서울,2018-01-02 14,32
108,서울,2018-01-02 15,17
108,서울,2018-01-02 16,18
108,서울,2018-01-02 17,19
108,서울,2018-01-02 18,17
108,서울,2018-01-02 19,10
108,서울,2018-01-02 20,5
108,서울,2018-01-02 21,10
108,서울,2018-01-02 22,10
108,서울,2018-01-02 23,17
108,서울,2018-01-03 00,19
108,서울,2018-01-03 01,23
108,서울,2018-01-03 02,31
108,서울,2018-01-03 03,32
108,서울,2018-01-03 04,31
108,서울,2018-01-03 05,33
108,서울,2018-01-03 06,36
108,서울,2018-01-03 07,30
108,서울,2018-01-03 08,36
108,서울,2018-01-03 09,37
108,서울,2018-01-03 10,42
108,서울,2018-01-03 11,51
108,서울,2018-01-03 12,53
108,서울,2018-01-03 13,46
108,서울,2018-01-03 14,39
108,서울,2018-01-03 15,35
108,서울,2018-01-03 16,38
108,서울,2018-01-03 17,35
108,서울,2018-01-03 18,27
108,서울,2018-01-03 19,13
108,서울,2018-01-03 20,14
108,서울,2018-01-03 21,11
108,서울,2018-01-03 22,21
108,서울,2018-01-03 23,21
108,서울,2018-01-04 00,26
108,서울,2018-01-04 01,20
108,서울,2018-01-04 02,32
108,서울,2018-01-04 03,32
