지점,일시,적설(cm)
108,2018-01-08 19:00,.5
108,2018-01-08 20:00,1
108,2018-01-08 21:00,1
108,2018-01-08 22:00,1
108,2018-01-08 23:00,1
108,2018-01-09 00:00,1
108,2018-01-09 01:00,1
108,2018-01-09 02:00,1
108,2018-01-09 03:00,.9
108,2018-01-09 04:00,.9
108,2018-01-09 05:00,.9
108,2018-01-09 06:00,.9
108,2018-01-09 07:00,.8
108,2018-01-09 08:00,.7
108,2018-01-09 09:00,.6
108,2018-01-09 10:00,.5
108,2018-01-09 11:00,.5
108,2018-01-09 12:00,.4
108,2018-01-09 13:00,.3
108,2018-01-09 14:00,.2
108,2018-01-09 23:00,.2
108,2018-01-10 00:00,.5
108,2018-01-10 01:00,.8
108,2018-01-10 02:00,.8
108,2018-01-10 03:00,.8
108,2018-01-10 04:00,.8
108,2018-01-10 05:00,.8
108,2018-01-10 06:00,.8
108,2018-01-10 07:00,.7
108,2018-01-10 08:00,.7
108,2018-01-10 09:00,.7
108,2018-01-10 10:00,.6
108,2018-01-10 11:00,.5
108,2018-01-10 12:00,.5
108,2018-01-10 13:00,.4
108,2018-01-10 14:00,.3
108,2018-01-10 15:00,.3
108,2018-01-10 16:00,.2
108,2018-01-13 08:00,.2
108,2018-01-13 09:00,.4
108,2018-01-13 10:00,.6
108,2018-01-13 11:00,.6
108,2018-01-13 12:00,.4
108,2018-01-22 17:00,.2
108,2018-01-22 18:00,1
108,2018-01-22 19:00,1
108,2018-01-22 20:00,1
108,2018-01-22 21:00,1
108,2018-01-22 22:00,1
108,2018-01-22 23:00,1
108,2018-01-23 00:00,1
108,2018-01-23 01:00,1
108,2018-01-23 02:00,1
108,2018-01-23 03:00,1
108,2018-01-23 04:00,1
108,2018-01-23 05:00,1
108,2018-01-23 06:00,1
108,2018-01-23 07:00,1
108,2018-01-23 08:00,1
108,2018-01-23 09:00,1
108,2018-01-23 10:00,1
108,2018-01-23 11:00,1
108,2018-01-23 12:00,1
108,2018-01-23 13:00,1
108,2018-01-23 14:00,1
108,2018-01-23 15:00,1
108,2018-01-23 16:00,1
108,2018-01-23 17:00,.9
108,2018-01-23 18:00,.9
108,2018-01-23 19:00,.9
108,2018-01-23 20:00,.9
108,2018-01-23 21:00,.9
108,2018-01-23 22:00,.9
108,2018-01-23 23:00,.9
108,2018-01-24 00:00,.9
108,2018-01-24 01:00,.9
108,2018-01-24 02:00,.9
108,2018-01-24 03:00,.9
108,2018-01-24 04:00,.9
108,2018-01-24 05:00,.9
108,2018-01-24 06:00,.9
